x1,name_id,x1500,x5000,mile,x800,x8k
1,Frederick_Alfonso-Frank.html,253,986,NA,NA,1618
2,Liam_Edson.html,248,934,279,NA,1594
3,Benjamin_Hughes.html,234,894,NA,115,1482
4,Tucker_Jakobe.html,259,914,NA,NA,1532
5,Owen_Johnson.html,239,893,259,118,1499
6,Charles_Kessler.html,252,NA,271,117,1614
7,Solomon_McDow.html,240,NA,260,120,1593
8,Raymond_Pavlik.html,243,NA,264,116,1546
9,Felix_Rogovin.html,NA,917,NA,NA,1580
10,Jack_Ulrich.html,NA,NA,NA,116,1702
20,Gregory_Baldinucci.html,257,957,277,123,1712
21,Parker_Boyle.html,234,NA,251,110,1553
22,Austin_Brown.html,232,907,258,119,1564
23,George_Cahill.html,239,878,255,NA,1519
25,Stan_Craig.html,235,852,252,NA,1499
26,Ben_Davis.html,247,NA,260,111,1619
27,Henry_Dennen.html,232,859,256,117,1479
28,Harrison_Dow.html,245,873,NA,NA,1461
29,Nick_Edwards-Levin.html,238,882,254,116,1478
30,Aidan_Gemme.html,232,915,257,117,1520
31,Ben_Kasen.html,251,899,NA,NA,1516
32,Gent_Malushaga.html,245,NA,259,118,1615
33,Daniel__Martin.html,258,943,274,NA,1617
34,Emmett_McGrath.html,264,951,284,NA,1615
35,Luke_Munch.html,272,916,280,125,1614
36,Finn_O'Hara.html,NA,NA,266,115,1567
37,Carter_Rauch.html,267,NA,296,124,1670
39,Drew_Stephens.html,250,915,277,NA,1540
40,Thomas_Stephens.html,249,919,269,NA,1525
41,Harrison_Talcott.html,245,928,267,119,1538
42,Josh_Thomas.html,247,NA,267,116,1585
43,Sam_Young.html,NA,916,267,NA,1539
44,Nathaniel_Aronson.html,235,905,259,118,1588
45,Henry_Barron.html,NA,NA,279,NA,1741
46,Nathaneul_Benioff.html,243,903,258,121,1565
47,Davis_Brown.html,244,961,262,119,1697
48,Nicholas_Brown.html,246,911,273,NA,1561
49,Sam_Buckley.html,251,958,270,NA,1633
50,Calvin_Capelle.html,255,NA,264,114,1623
51,Daniel_Cassata.html,261,NA,NA,122,1574
52,Nikhil_Chavda.html,246,926,267,NA,1560
53,Jack_Crum.html,241,907,258,121,1562
54,Luke_Dai.html,NA,968,280,NA,1667
55,Max_Hoffman.html,234,890,253,NA,1560
56,Benjamin__Huston.html,233,898,255,118,1509
57,Miles_Logan.html,236,NA,263,116,1553
58,Campbell_MacDonald.html,252,949,291,NA,1605
59,Jackson_Monz.html,242,NA,260,114,1542
60,Andrew__Mottur.html,239,874,256,NA,1491
61,Callahan_Porter.html,232,930,253,116,1571
62,Chris_Pottle.html,260,922,NA,NA,1543
63,Nate_Roberts.html,235,898,251,111,1582
64,JJ_Rocha.html,243,NA,NA,NA,1583
