"","name_id","1500","5000","MILE","800","8k","8K (XC)"
"1","Frederick_Alfonso-Frank.html","4:13.21","16:26.09",NA,NA,"26:58.5",NA
"2","Liam_Edson.html","4:08.22","15:34.96","4:39.70",NA,"26:34.3",NA
"3","Benjamin_Hughes.html","3:54.57","14:54.79",NA,"1:55.34","24:42.8",NA
"4","Tucker_Jakobe.html","4:19.93","15:14.59",NA,NA,"25:32.5",NA
"5","Owen_Johnson.html","3:59.82","14:53.33","4:19.01","1:58.94","24:59.5",NA
"6","Charles_Kessler.html","4:12.44",NA,"4:31.07","1:57.39","26:54.2",NA
"7","Solomon_McDow.html","4:00.22",NA,"4:20.52","2:00.44","26:33.4",NA
"8","Raymond_Pavlik.html","4:03.60",NA,"4:24.67","1:56.13","25:46.1",NA
"9","Felix_Rogovin.html",NA,"15:17.33",NA,NA,"26:20.4",NA
"10","Jack_Ulrich.html",NA,NA,NA,"1:56.79","28:22.1",NA
"11","Drew_Donahue.html",NA,NA,NA,NA,"24:24.0",NA
"12","Ziggy_Goddard.html",NA,NA,NA,NA,"24:26.6",NA
"13","Harry_Griff.html",NA,NA,NA,NA,"25:32.4",NA
"14","Benjamin__Klingle.html",NA,NA,NA,NA,"28:50.9",NA
"15","Cameron__Miles.html",NA,NA,NA,NA,"25:54.6",NA
"16","Ben_Prestes.html",NA,NA,NA,NA,"26:37.2",NA
"17","Bryan_Stark-Chessa.html",NA,NA,NA,NA,"28:07.9",NA
"18","Gabe_Watson.html",NA,NA,NA,NA,"26:08.1",NA
"19","Shef_West.html",NA,NA,NA,NA,"24:54.8",NA
"20","Gregory_Baldinucci.html","4:17.25","15:57.44","4:37.61","2:03.43",NA,"28:32.6"
"21","Parker_Boyle.html","3:54.32",NA,"4:11.37","1:50.19",NA,"25:53.0"
"22","Austin_Brown.html","3:52.79","15:07.64","4:18.54","1:59.88",NA,"26:04.4"
"23","George_Cahill.html","3:59.02","14:38.64","4:15.16",NA,NA,"25:19.8"
"24","Jacob_Connolly.html","4:04.71","15:10.45","4:15.31",NA,NA,NA
"25","Stan_Craig.html","3:55.95","14:12.35","4:12.18",NA,NA,"24:59.4"
"26","Ben_Davis.html","4:07.53",NA,"4:20.41","1:51.08",NA,"26:59.9"
